Id,SalePrice
2658,137961.0328951726
2718,201293.43151613104
2414,215415.03743076551
1989,107236.47342814674
625,159709.37230995364
333,120738.52693451484
1327,119598.8993146863
858,170167.7398560054
95,202360.29516054702
1568,152685.31119326592
2482,166414.4863325666
1364,116279.14777351031
2584,150489.2401052382
818,290474.9457758954
2673,154910.36007677476
2089,135026.95860656776
1297,148248.75533118012
790,125224.35094713779
2616,176807.95601617286
720,177168.8980850167
222,137415.35290668247
557,119169.2481527007
1148,194479.99954712496
2766,153156.45638295298
534,182946.7653929963
1452,125448.92455195053
630,129253.29881478594
2648,138920.39266349695
125,151817.16760569165
1904,86885.49627481887
1670,117728.36341888424
756,111218.02692950159
717,215731.01282074396
1032,146781.30715944438
852,211121.75936148618
1731,201457.73706270428
2639,113085.76905121305
2071,108717.73476856753
1267,120743.09473425674
1851,183012.3335071157
567,173887.4112769893
2439,225359.9123694541
1898,147492.49407157023
647,138026.93386856403
2256,211269.08363681362
979,127183.46756012243
1444,224824.35860137816
2485,123320.34740457864
157,119972.36599213335
88,128925.30144645703
2003,120421.21826335244
186,197949.40613825814
1425,247920.85091281732
2695,137116.04490841512
738,116110.76172587939
395,143255.1382612018
1353,164108.99769893885
1878,139739.239788116
390,156345.21959240502
1456,228221.39261660853
1103,304972.9960535811
1387,115844.22551098884
2070,137749.64023462223
1199,194425.42761358374
2479,186936.55105804474
501,303240.73984264396
2362,114518.99560597098
1718,190355.71588810429
2188,93736.02622242706
1483,153104.78580615038
2557,94138.23948983052
437,373006.20123152516
2224,193445.90669511398
1628,186931.4994656836
397,130557.52928857069
587,210245.08627584146
2182,887551.1871251846
971,158623.2353988108
2611,143683.15630776534
1887,116804.37123730825
2399,330482.3778472288
2148,196895.41421843713
304,121616.93136094348
1997,130352.7149545089
2817,116920.1664567216
1431,211669.48142637088
427,297998.20124616846
263,126262.20462421843
598,176221.11484582565
2895,217527.29978863278
687,149202.74071627238
1822,129390.79260761276
2191,109433.66389466627
179,121909.06206345075
1009,185696.07529517967
2010,123179.13460500487
1991,147410.82697703916
1411,168980.12085928026
1721,226515.46980477634
1144,198686.8221803263
593,220011.52470532406
575,290562.48627795966
1249,185753.70911964527
1604,127732.09983275807
1064,457912.154054045
1923,143954.82066245997
1988,111569.74592425906
2325,184396.93320558994
114,212120.2575908965
2700,186102.2179733108
217,153430.17278076327
343,165322.89246142088
386,237073.54436522143
2005,129501.7730599276
2908,152569.16660131433
1814,231952.64535625637
2446,602013.733973436
208,145389.89062710665
1679,136508.71406029316
822,305767.537276772
6,194380.30863877558
1781,360856.12356420315
2397,279677.0177457439
2340,288150.1142234379
1618,188855.53327186886
2843,147316.15794967578
1061,365781.78335429175
2786,126670.05452350863
1935,126769.51876330431
1341,114478.49414624459
521,256856.02955292547
2136,140646.67946216464
996,206648.15332014937
227,147479.8455715187
135,157091.92080273535
1167,167046.92699678175
294,194594.38676458996
1776,189741.77004161806
540,174132.36892869664
1717,190354.0831437566
2303,129181.98731506565
116,170438.66907865074
127,131913.85496354688
1371,129444.7286141684
1014,171634.1827614542
1507,117798.77499202178
702,161482.4591573362
750,146607.21649390625
261,160844.85620126055
1559,88459.9264527237
577,227650.65767069595
2812,215145.7862615307
2080,168466.3639902017
1368,117461.17421365561
2376,127704.21659239769
659,102632.85692364335
1235,124581.39582286005
332,117872.74939264792
1917,132985.45518132453
2094,260526.27265726525
1460,282842.39285743167
1471,222503.07849987864
1509,126562.69459142924
1922,123684.26719683682
433,492734.34304024884
460,223336.82047216786
1116,222192.68027609092
1137,166231.71052613924
53,181519.02127778754
2354,259588.06670894183
1475,200055.87895788823
1761,672844.5417817611
842,138827.78872420953
2739,192060.84636923112
2509,171283.80622455647
1007,220665.22399388213
2610,183160.5263986506
1952,98672.32537701906
2719,188216.35846481135
2921,121537.65503925327
1966,137232.4409614096
292,134868.7886982601
1204,198680.07137636596
1829,259555.28303622245
2419,199790.52902289957
391,159805.8603222569
798,133335.79053092637
481,196158.2255846623
193,189475.3551404564
555,123765.94155911464
899,98353.51952325877
2357,187815.27786581288
328,134068.05289552137
1356,106984.09713482672
1154,118258.22821798004
1730,189561.71345058887
2249,142526.04498889548
1119,267316.99053796486
2856,140124.22310409154
1394,152159.99193567326
2587,128849.96170219065
61,321833.0217513498
2661,172239.56375345297
2711,134952.5464911919
1147,195451.70989202254
757,135901.07528894668
2623,112764.60548802245
2378,159369.85315921681
1413,141802.34899278264
1722,208995.40938059177
1112,238410.16680091596
1623,192198.28051850264
1201,201602.17870395805
1513,119295.27479909998
957,492845.55458172783
1171,240406.35021799698
1145,211212.61885952018
2726,232916.91930984246
703,142107.54266541387
760,103457.8617550935
1964,132310.0297575735
2512,180390.04743713822
159,139842.9666789862
1281,173660.12717414045
468,202670.8639717478
290,112842.01360296685
665,113579.44482832905
1463,269730.77457868145
1792,230761.72463675827
923,138950.63682335624
500,262541.71100035624
1408,155474.87161827722
331,105620.61474444639
170,121823.25656813517
2192,106046.27352044439
2571,300837.4661922667
2314,180069.30563619392
2647,99825.44656910842
422,370022.6031280686
2457,345399.4030075603
1838,189630.0529091655
2805,272997.5422371328
1645,158824.13228035622
1711,300384.6765381907
2825,262807.1079454345
322,361639.3755532474
2103,253429.05757787384
342,124829.08054536502
600,112454.35482875867
488,185578.36412680507
1725,265444.45080595603
2246,249971.89541841153
2847,149170.03339818498
806,238450.31583625195
530,245104.2668429395
963,184210.35334738204
2678,102902.76985971848
171,97622.1927773756
2401,376145.9938579983
805,220436.20205318654
2259,218945.8543831085
1748,190241.107113189
1361,151829.62900971645
1677,138190.9930727314
1406,141254.71834685028
2322,248777.49421938637
688,168805.05785917
143,138214.79080274928
804,201321.01314985967
1214,165202.9449070485
2828,162512.75465392313
1999,177065.0352026674
2467,204962.55591345055
2665,168983.83118203882
1538,318458.371863472
398,116066.75365711132
2822,147174.4242305917
2157,152636.63169027504
1856,191359.85760140923
1269,118018.61869613393
2570,126846.85946524635
2320,245698.60352328836
1517,131708.683355515
2304,138490.26143651144
1312,98188.51044813365
2012,131315.90886894517
506,242704.75837519305
2865,191916.21294369962
2367,126947.4252802499
554,103909.1621777794
238,137866.1092843648
1954,118428.62069951414
2488,171471.14570545274
2291,123530.39565201764
1969,120574.84134869516
2725,147712.1796621771
1482,150266.68850275158
2763,215444.9637952065
503,241933.2404103369
1584,233622.11261241164
1531,146064.4408821087
2210,172522.14615420194
459,274567.0942916897
556,128771.828187599
1347,149943.03082597235
1290,97356.40439988517
1388,121093.09667923192
1571,289164.23903034837
2754,207049.55039583743
765,160973.25272841955
2494,129471.89703160984
2870,195696.1796626895
7,202861.71405122447
1114,209748.90335278987
2418,303757.5166758966
291,170237.68314354398
18,320397.13381183206
39,320353.9383310389
1001,239148.82013453273
2442,249553.31312110584
616,107309.00270936106
2680,103934.81365394674
1414,116206.22106236171
289,146044.50501365564
40,226831.55923141068
860,131779.75314072127
409,134690.1704034733
673,142466.7977612945
2427,187451.54143377036
2036,201844.8981387476
2564,149152.28184550704
642,164959.50035884176
1008,201197.04018543375
1908,159175.68598124865
2519,187536.447022082
1369,94199.47418305976
2855,156488.71637731226
712,97340.9862797382
1943,108168.00882335579
1958,129902.33203409339
107,149644.49193236645
2295,202006.93840288042
704,118005.14120463358
676,131089.80719334926
259,194764.1367288121
93,262126.96342036914
106,226899.05332098165
2315,194753.03061990874
1050,122191.46727886038
1095,213099.37945952112
2709,139410.0881409972
758,148280.5947703622
1496,167142.50919825913
2370,138019.5549162245
2458,240888.29304846624
2733,135768.4907981468
161,253351.71490691445
726,145845.44329460105
845,218338.21140725602
947,256387.54063409686
2232,116364.18890296949
