Id,SalePrice
2658,136285.58037479044
2718,207550.26845232444
2414,213909.48606837334
1989,104401.8449464814
625,167237.6189398449
333,92818.45199872629
1327,103919.92626948931
858,185070.69103859167
95,202536.36831302912
1568,150456.3130540531
2482,174877.37034689757
1364,121554.1232850706
2584,154140.64341955178
818,269759.84096981154
2673,157174.08578136907
2089,129678.93862646454
1297,149725.94366946467
790,117734.2593625683
2616,184598.0870761663
720,198013.58113601975
222,140675.0443575762
557,110204.53397919182
1148,204351.74294505455
2766,157331.23437823838
534,195041.0395882693
1452,116690.54168209751
630,129776.71648786441
2648,160430.2456742603
125,174126.12584889118
1904,33380.31977860723
1670,97499.44690990042
756,101836.41738916616
717,231971.16705272868
1032,149112.84679988227
852,227862.13904855464
1731,198781.27019453354
2639,101701.57626234734
2071,90736.28487687891
1267,120422.0299042449
1851,193336.01809585426
567,173792.30169281116
2439,222214.69178942882
1898,153915.65797635197
647,135976.7452703911
2256,238491.85638768584
979,103152.36615538194
1444,223891.56610154253
2485,110106.71546859313
157,115407.56836509977
88,124504.52996696466
2003,114052.36807456818
186,216990.16489735924
1425,272137.726179139
2695,137736.99475809748
738,115536.23737594367
395,154348.95238426927
1353,172036.5317291034
1878,136617.64024703306
390,159209.3417553645
1456,227561.28206619143
1103,322647.1658439288
1387,117201.23623820467
2070,134483.14490513346
1199,193440.72699824406
2479,183262.81681854362
501,319644.94720708317
2362,87350.82194009046
1718,207585.82282460993
2188,75639.77040643143
1483,169319.03669650084
2557,79615.5912016207
437,352172.1441504285
2224,205102.17453848667
1628,186891.6714157748
397,120331.76539891973
587,223806.228928847
2182,621465.5986090263
971,160553.71477401155
2611,143892.2611967256
1887,103392.81206501128
2399,363784.841496945
2148,208832.5721584575
304,126760.38058658803
1997,130740.36379661091
2817,110825.45805549913
1431,207267.42488387966
427,314697.7143657796
263,119531.89192172994
598,188221.1269350092
2895,225293.61049921645
687,150211.13087725826
1822,128905.10817536702
2191,100756.429464836
